DriverNumber,Abbreviation,TeamName,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,TrackStatus,PitOutTime,PitInTime,IsPersonalBest,LapTimeSeconds
77,BOT,Alfa Romeo,18.0,0 days 00:01:33.749000,0 days 00:00:30.055000,0 days 00:00:37.711000,0 days 00:00:25.983000,1.0,HARD,18.0,True,1,,,True,93.749
77,BOT,Alfa Romeo,19.0,0 days 00:01:33.730000,0 days 00:00:30.048000,0 days 00:00:37.742000,0 days 00:00:25.940000,1.0,HARD,19.0,True,1,,,True,93.73
77,BOT,Alfa Romeo,20.0,0 days 00:01:33.671000,0 days 00:00:29.995000,0 days 00:00:37.645000,0 days 00:00:26.031000,1.0,HARD,20.0,True,1,,,True,93.671
77,BOT,Alfa Romeo,21.0,0 days 00:01:33.607000,0 days 00:00:29.996000,0 days 00:00:37.774000,0 days 00:00:25.837000,1.0,HARD,21.0,True,1,,,True,93.607
77,BOT,Alfa Romeo,22.0,0 days 00:01:33.468000,0 days 00:00:29.936000,0 days 00:00:37.631000,0 days 00:00:25.901000,1.0,HARD,22.0,True,1,,,True,93.468
77,BOT,Alfa Romeo,23.0,0 days 00:01:33.787000,0 days 00:00:30.029000,0 days 00:00:37.836000,0 days 00:00:25.922000,1.0,HARD,23.0,True,1,,,False,93.787
77,BOT,Alfa Romeo,24.0,0 days 00:01:33.464000,0 days 00:00:29.834000,0 days 00:00:37.764000,0 days 00:00:25.866000,1.0,HARD,24.0,True,1,,,True,93.464
77,BOT,Alfa Romeo,25.0,0 days 00:01:33.292000,0 days 00:00:29.892000,0 days 00:00:37.622000,0 days 00:00:25.778000,1.0,HARD,25.0,True,1,,,True,93.292
77,BOT,Alfa Romeo,26.0,0 days 00:01:33.470000,0 days 00:00:29.981000,0 days 00:00:37.671000,0 days 00:00:25.818000,1.0,HARD,26.0,True,1,,,False,93.47
77,BOT,Alfa Romeo,27.0,0 days 00:01:33.588000,0 days 00:00:29.999000,0 days 00:00:37.771000,0 days 00:00:25.818000,1.0,HARD,27.0,True,1,,,False,93.588
77,BOT,Alfa Romeo,28.0,0 days 00:01:33.500000,0 days 00:00:29.900000,0 days 00:00:37.790000,0 days 00:00:25.810000,1.0,HARD,28.0,True,1,,,False,93.5
77,BOT,Alfa Romeo,29.0,0 days 00:01:33.351000,0 days 00:00:30,0 days 00:00:37.592000,0 days 00:00:25.759000,1.0,HARD,29.0,True,1,,,False,93.351
77,BOT,Alfa Romeo,30.0,0 days 00:01:33.367000,0 days 00:00:29.967000,0 days 00:00:37.720000,0 days 00:00:25.680000,1.0,HARD,30.0,True,1,,,False,93.367
77,BOT,Alfa Romeo,31.0,0 days 00:01:33.440000,0 days 00:00:29.976000,0 days 00:00:37.764000,0 days 00:00:25.700000,1.0,HARD,31.0,True,1,,,False,93.44
77,BOT,Alfa Romeo,32.0,0 days 00:01:45.965000,0 days 00:00:29.929000,0 days 00:00:43.363000,0 days 00:00:32.673000,1.0,HARD,32.0,True,126,,0 days 01:52:38.227000,False,105.965
77,BOT,Alfa Romeo,33.0,0 days 00:02:26.908000,0 days 00:01:04.731000,0 days 00:00:46.829000,0 days 00:00:35.348000,2.0,SOFT,1.0,True,64,0 days 01:53:07.883000,,False,146.908
77,BOT,Alfa Romeo,34.0,0 days 00:02:06.680000,0 days 00:00:44.769000,0 days 00:00:47.908000,0 days 00:00:34.003000,2.0,SOFT,2.0,True,4,,,False,126.68
77,BOT,Alfa Romeo,35.0,0 days 00:02:00.029000,0 days 00:00:40.431000,0 days 00:00:43.960000,0 days 00:00:35.638000,2.0,SOFT,3.0,True,4,,,False,120.029
77,BOT,Alfa Romeo,36.0,0 days 00:02:25.248000,0 days 00:00:56.103000,0 days 00:00:51.036000,0 days 00:00:38.109000,2.0,SOFT,4.0,True,4,,,False,145.248
77,BOT,Alfa Romeo,37.0,0 days 00:02:25.027000,0 days 00:00:52.907000,0 days 00:00:52.237000,0 days 00:00:39.883000,2.0,SOFT,5.0,True,4,,,False,145.027
77,BOT,Alfa Romeo,38.0,0 days 00:02:11.371000,0 days 00:00:39.816000,0 days 00:00:54.101000,0 days 00:00:37.454000,2.0,SOFT,6.0,True,41,,,False,131.371
77,BOT,Alfa Romeo,39.0,0 days 00:01:32.618000,0 days 00:00:29.365000,0 days 00:00:37.584000,0 days 00:00:25.669000,2.0,SOFT,7.0,True,1,,,True,92.618
77,BOT,Alfa Romeo,40.0,0 days 00:01:33.056000,0 days 00:00:29.615000,0 days 00:00:37.557000,0 days 00:00:25.884000,2.0,SOFT,8.0,True,1,,,False,93.056
77,BOT,Alfa Romeo,41.0,0 days 00:01:32.229000,0 days 00:00:29.317000,0 days 00:00:37.418000,0 days 00:00:25.494000,2.0,SOFT,9.0,True,1,,,True,92.229
77,BOT,Alfa Romeo,42.0,0 days 00:01:31.902000,0 days 00:00:29.193000,0 days 00:00:37.413000,0 days 00:00:25.296000,2.0,SOFT,10.0,True,1,,,True,91.902
77,BOT,Alfa Romeo,43.0,0 days 00:01:32.047000,0 days 00:00:29.472000,0 days 00:00:37.073000,0 days 00:00:25.502000,2.0,SOFT,11.0,True,1,,,False,92.047
77,BOT,Alfa Romeo,44.0,0 days 00:01:32.563000,0 days 00:00:29.574000,0 days 00:00:37.415000,0 days 00:00:25.574000,2.0,SOFT,12.0,True,1,,,False,92.563
77,BOT,Alfa Romeo,45.0,0 days 00:01:33.177000,0 days 00:00:29.477000,0 days 00:00:37.792000,0 days 00:00:25.908000,2.0,SOFT,13.0,True,1,,,False,93.177
77,BOT,Alfa Romeo,46.0,0 days 00:01:32.284000,0 days 00:00:29.478000,0 days 00:00:37.322000,0 days 00:00:25.484000,2.0,SOFT,14.0,True,1,,,False,92.284
77,BOT,Alfa Romeo,47.0,0 days 00:01:32.079000,0 days 00:00:29.491000,0 days 00:00:37.185000,0 days 00:00:25.403000,2.0,SOFT,15.0,True,1,,,False,92.079
77,BOT,Alfa Romeo,48.0,0 days 00:01:31.974000,0 days 00:00:29.329000,0 days 00:00:37.239000,0 days 00:00:25.406000,2.0,SOFT,16.0,True,1,,,False,91.974
77,BOT,Alfa Romeo,49.0,0 days 00:01:32.167000,0 days 00:00:29.485000,0 days 00:00:37.237000,0 days 00:00:25.445000,2.0,SOFT,17.0,True,1,,,False,92.167
77,BOT,Alfa Romeo,50.0,0 days 00:01:32.163000,0 days 00:00:29.428000,0 days 00:00:37.192000,0 days 00:00:25.543000,2.0,SOFT,18.0,True,1,,,False,92.163
77,BOT,Alfa Romeo,51.0,0 days 00:01:32.133000,0 days 00:00:29.433000,0 days 00:00:37.132000,0 days 00:00:25.568000,2.0,SOFT,19.0,True,1,,,False,92.133
77,BOT,Alfa Romeo,52.0,0 days 00:01:31.852000,0 days 00:00:29.345000,0 days 00:00:37.127000,0 days 00:00:25.380000,2.0,SOFT,20.0,True,1,,,True,91.852
81,PIA,McLaren,1.0,0 days 00:01:37.773000,,0 days 00:00:38.393000,0 days 00:00:26.200000,1.0,MEDIUM,1.0,True,1,,,False,97.773
